file_path,filename,category,true_label,true_malware_type,true_obfuscation,pred_label,pred_malware_type,pred_subtype,pred_obfuscation,pred_confidence,pred_risk_level,indicators,reason,parse_error,latency_ms,total_tokens,prompt_tokens,completion_tokens,correct
data\samples\webshell\johnTroony_php_webshells_Antichat_Shell.php,johnTroony_php_webshells_Antichat_Shell.php,webshell,malicious,webshell,none,malicious,webshell,多功能PHP后门（Antichat Shell）,none,0.98,high,popen; eval; upload; unlink; readfile; fopen; fwrite; shell,代码为典型的综合型Webshell，包含命令执行（popen）、文件管理（浏览/编辑/删除/下载/上传）、PHP代码执行（eval）等功能，并内置固定口令认证，风险极高。,,4054,6072,5679,393,1
data\samples\webshell\johnTroony_php_webshells_Ayyildiz_Tim.php,johnTroony_php_webshells_Ayyildiz_Tim.php,webshell,malicious,webshell,none,malicious,webshell,Ayyildiz Tim Shell（综合命令执行Webshell）,none,0.99,high,system; extract; command_execution; work_dir; chdir; web_shell,代码为完整的功能型PHP Webshell，包含目录浏览、命令执行（system($command)）、错误输出重定向等功能，可远程执行系统命令，明确恶意,,2493,4678,4487,191,1
data\samples\webshell\johnTroony_php_webshells_CrystalShell.php,johnTroony_php_webshells_CrystalShell.php,webshell,malicious,webshell,none,malicious,webshell,CrystalShell综合后门,none,0.99,high,"passthru(""id""); eval(stripslashes($_POST['phpcode'])); system($m); exec($com); installbind; curl_init(""file:///"".$_POST['curl']); imap_open; file manager",该代码是典型的CrystalShell webshell，包含命令执行（exec/system/passthru/shell_exec）、文件管理（下载/上传/编辑）、数据库连接、端口绑定反弹shell、安全模式绕过等功能，且无输入过滤，危险函数直接调用用户输入,,3373,15028,14729,299,1
data\samples\webshell\johnTroony_php_webshells_GFS_web-shell.php,johnTroony_php_webshells_GFS_web-shell.php,webshell,malicious,webshell,none,malicious,webshell,GFS多功能WebShell，集成命令执行、文件上传下载、数据库导出、反弹shell等,base64,0.99,high,GFS Web-Shell; b_down; b_dtable; exec; shell_exec; passthru; base64_decode; fsockopen; socket_create,脚本开头明确标注 GFS Web-Shell，包含文件下载、数据库表下载、命令执行函数（exec/shell_exec/system/passthru）、内嵌多个 base64 编码的反弹 shell（C/perl）和代理脚本，属于典型的多功能后门 webshell,,2543,11960,11729,231,1
data\samples\sqli\builtin_sqli_payload_001.txt,builtin_sqli_payload_001.txt,sqli,malicious,sqli,none,malicious,sqli,布尔盲注/认证绕过,none,0.99,high,OR '1'='1,经典 OR '1'='1 恒真条件，用于绕过认证或进行布尔注入,,2158,1466,1260,206,1
data\samples\sqli\builtin_sqli_payload_002.txt,builtin_sqli_payload_002.txt,sqli,malicious,sqli,none,malicious,sqli,认证绕过/布尔注入,none,0.98,high,OR '1'='1'; comment_injection; boolean_bypass,使用 OR '1'='1' 构造恒真条件，配合注释符绕过SQL查询逻辑，典型认证绕过载荷,,2152,1442,1261,181,1
data\samples\sqli\builtin_sqli_payload_003.txt,builtin_sqli_payload_003.txt,sqli,malicious,sqli,none,malicious,sqli,恒真条件注入,none,0.98,high,OR '1'='1'; comment_injection; authentication_bypass,利用 OR 恒真条件 ('1'='1') 绕过验证或过滤，注释符 /* 用于截断后续语句，是典型认证绕过 SQL 注入,,3085,1536,1261,275,1
data\samples\sqli\builtin_sqli_payload_004.txt,builtin_sqli_payload_004.txt,sqli,malicious,sqli,none,malicious,sqli,布尔注入/认证绕过,none,0.99,high,OR 1=1; comment_injection,典型 SQL 注入载荷，通过恒真条件绕过认证并注释掉后续查询,,2791,1482,1259,223,1
data\samples\sqli\builtin_sqli_payload_005.txt,builtin_sqli_payload_005.txt,sqli,malicious,sqli,none,malicious,sqli,恒真条件绕过,none,0.98,high,OR 1=1; comment_injection; auth_bypass,'OR 1=1' 构造恒真条件，'#' 注释掉后续SQL，常用于绕过认证或过滤条件，属于典型SQL注入,,4039,1652,1259,393,1
data\samples\obfuscated\base64\johnTroony_php_webshells_Antichat_Shell_base64.php,johnTroony_php_webshells_Antichat_Shell_base64.php,obfuscated,malicious,webshell,base64,malicious,webshell,Antichat综合型PHP后门,base64,0.99,high,eval; base64_decode; shell; phpeval; file_manager,代码使用 eval(base64_decode(...)) 执行经 Base64 编码的完整后门程序，解码后包含登录认证、文件浏览、命令执行、文件上传下载、编辑器和 eval 执行等功能，属于典型综合型Webshell,,3762,12899,12588,311,1
data\samples\obfuscated\base64\johnTroony_php_webshells_Ayyildiz_Tim_base64.php,johnTroony_php_webshells_Ayyildiz_Tim_base64.php,obfuscated,malicious,webshell,base64,malicious,webshell,命令执行型WebShell（带文件管理功能）,base64,0.98,high,eval; base64_decode; system; extract($_POST); directory_traversal,代码使用 eval(base64_decode(...)) 加载解码后的 PHP 代码，其中包含通过 $_POST/$_GET 变量覆盖、执行系统命令（system）以及目录浏览和切换功能，是典型的 WebShell 特征,,4725,10030,9631,399,1
data\samples\obfuscated\base64\johnTroony_php_webshells_CrystalShell_base64.php,johnTroony_php_webshells_CrystalShell_base64.php,obfuscated,malicious,webshell,base64,malicious,webshell,Crystal Shell 综合开源后门,base64,0.99,high,base64_decode; eval; system; exec; shell_exec; passthru; bind_shell; file_manager; phpinfo,外部 base64_decode 解码后得到完整的 PHP 开源工具包，包含命令执行、文件管理、数据库连接测试、反弹 shell 等功能，属于典型的混淆型后备门,,2447,36791,36582,209,1
data\samples\obfuscated\base64\johnTroony_php_webshells_GFS_web-shell_base64.php,johnTroony_php_webshells_GFS_web-shell_base64.php,obfuscated,malicious,webshell,base64,malicious,webshell,GFS web-shell 功能型后门,base64,0.99,high,eval; base64_decode; exec; system; shell_exec; file_download; database_dump,该代码为 GFS web-shell 3.1.7，通过 base64 解码后执行，具备文件下载、数据库导出、命令执行等 webshell 功能，属于典型恶意脚本,,3583,21458,21089,369,1
data\samples\obfuscated\base64\johnTroony_php_webshells_GRP_WebShell_base64.php,johnTroony_php_webshells_GRP_WebShell_base64.php,obfuscated,malicious,webshell,base64,malicious,webshell,GRP WebShell 综合后门,base64,0.99,high,base64_decode; eval; system; exec; passthru; file management; command execution,包含 base64_decode 解出完整 webshell 代码，具备命令执行、文件管理、模块安装等后门功能，是典型的高度混淆恶意代码,,2751,15887,15649,238,1
