file_path,filename,category,true_label,true_malware_type,true_obfuscation,pred_label,pred_malware_type,pred_subtype,pred_obfuscation,pred_confidence,pred_risk_level,indicators,reason,parse_error,latency_ms,total_tokens,prompt_tokens,completion_tokens,correct
data\samples\benign\flask_examples_typing.py,flask_examples_typing.py,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\flask_examples_views.py,flask_examples_views.py,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\flask_examples_views_1.py,flask_examples_views_1.py,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\flask_examples_views_2.py,flask_examples_views_2.py,benign,benign,none,none,malicious,webshell,,none,0.9,high,SQL注入: comment_injection,"规则匹配触发 1 条规则, SQL注入: comment_injection",,0,0,0,0,0
data\samples\benign\flask_examples_wrappers.py,flask_examples_wrappers.py,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_AnonymousEvent.php,laravel_AnonymousEvent.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_Attempting.php,laravel_Attempting.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_AuthManager.php,laravel_AuthManager.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_AuthServiceProvider.php,laravel_AuthServiceProvider.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_Authenticatable.php,laravel_Authenticatable.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_Authenticate.php,laravel_Authenticate.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_AuthenticateWithBasicAuth.php,laravel_AuthenticateWithBasicAuth.php,benign,benign,none,none,malicious,webshell,,string_split,0.7,medium,字符串拼接还原函数名,"规则匹配触发 1 条规则, 字符串拼接还原函数名",,0,0,0,0,0
data\samples\benign\laravel_Authenticated.php,laravel_Authenticated.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_AuthenticationException.php,laravel_AuthenticationException.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_AuthorizationException.php,laravel_AuthorizationException.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_Authorize.php,laravel_Authorize.php,benign,benign,none,none,malicious,webshell,,string_split,0.7,medium,字符串拼接还原函数名,"规则匹配触发 1 条规则, 字符串拼接还原函数名",,0,0,0,0,0
data\samples\benign\laravel_BroadcastController.php,laravel_BroadcastController.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_BroadcastEvent.php,laravel_BroadcastEvent.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_BroadcastManager.php,laravel_BroadcastManager.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_BroadcastServiceProvider.php,laravel_BroadcastServiceProvider.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_CacheTokenRepository.php,laravel_CacheTokenRepository.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_CanResetPassword.php,laravel_CanResetPassword.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_Channel.php,laravel_Channel.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_ClearResetsCommand.php,laravel_ClearResetsCommand.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_CreatesUserProviders.php,laravel_CreatesUserProviders.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_CurrentDeviceLogout.php,laravel_CurrentDeviceLogout.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_DatabaseTokenRepository.php,laravel_DatabaseTokenRepository.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_DatabaseUserProvider.php,laravel_DatabaseUserProvider.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_EloquentUserProvider.php,laravel_EloquentUserProvider.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_EncryptedPrivateChannel.php,laravel_EncryptedPrivateChannel.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_EnsureEmailIsVerified.php,laravel_EnsureEmailIsVerified.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_Failed.php,laravel_Failed.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_FakePendingBroadcast.php,laravel_FakePendingBroadcast.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_Gate.php,laravel_Gate.php,benign,benign,none,none,malicious,webshell,,string_split,1.0,high,字符串拼接还原函数名; SQL注入: concat,"规则匹配触发 2 条规则, 字符串拼接还原函数名, SQL注入: concat",,0,0,0,0,0
data\samples\benign\laravel_GateEvaluated.php,laravel_GateEvaluated.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_GenericUser.php,laravel_GenericUser.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_GuardHelpers.php,laravel_GuardHelpers.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_HandlesAuthorization.php,laravel_HandlesAuthorization.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_InteractsWithBroadcasting.php,laravel_InteractsWithBroadcasting.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_InteractsWithSockets.php,laravel_InteractsWithSockets.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_Lockout.php,laravel_Lockout.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_Login.php,laravel_Login.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_Logout.php,laravel_Logout.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_MustVerifyEmail.php,laravel_MustVerifyEmail.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_OtherDeviceLogout.php,laravel_OtherDeviceLogout.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_PasswordBroker.php,laravel_PasswordBroker.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_PasswordBrokerManager.php,laravel_PasswordBrokerManager.php,benign,benign,none,none,benign,none,,none,0.4,none,base64_decode,"检测到低风险特征 (1 个), 未达到恶意判定阈值",,0,0,0,0,1
data\samples\benign\laravel_PasswordReset.php,laravel_PasswordReset.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_PasswordResetLinkSent.php,laravel_PasswordResetLinkSent.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_PasswordResetServiceProvider.php,laravel_PasswordResetServiceProvider.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_PendingBroadcast.php,laravel_PendingBroadcast.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_Recaller.php,laravel_Recaller.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_RedirectIfAuthenticated.php,laravel_RedirectIfAuthenticated.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_Registered.php,laravel_Registered.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_RequestGuard.php,laravel_RequestGuard.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_RequirePassword.php,laravel_RequirePassword.php,benign,benign,none,none,malicious,webshell,,string_split,0.7,medium,字符串拼接还原函数名,"规则匹配触发 1 条规则, 字符串拼接还原函数名",,0,0,0,0,0
data\samples\benign\laravel_ResetPassword.php,laravel_ResetPassword.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_Response.php,laravel_Response.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_SendEmailVerificationNotification.php,laravel_SendEmailVerificationNotification.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_SessionGuard.php,laravel_SessionGuard.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_TokenGuard.php,laravel_TokenGuard.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_TokenRepositoryInterface.php,laravel_TokenRepositoryInterface.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_Validated.php,laravel_Validated.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_Verified.php,laravel_Verified.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\laravel_VerifyEmail.php,laravel_VerifyEmail.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_App.php,thinkphp_App.php,benign,benign,none,none,malicious,webshell,,none,1.0,high,exec(); exec(); 文件操作函数,"规则匹配触发 3 条规则, exec(), exec(), 文件操作函数",,0,0,0,0,0
data\samples\benign\thinkphp_Argument.php,thinkphp_Argument.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Ask.php,thinkphp_Ask.php,benign,benign,none,none,malicious,webshell,,none,1.0,high,shell_exec(); exec(); exec(); 文件操作函数,"规则匹配触发 4 条规则, shell_exec(), exec(), exec(), 文件操作函数",,0,0,0,0,0
data\samples\benign\thinkphp_Autoload.php,thinkphp_Autoload.php,benign,benign,none,none,benign,none,,none,0.3,none,文件管理功能 (3 个),"检测到低风险特征 (1 个), 未达到恶意判定阈值",,0,0,0,0,1
data\samples\benign\thinkphp_Build.php,thinkphp_Build.php,benign,benign,none,none,benign,none,,none,0.3,none,文件管理功能 (4 个),"检测到低风险特征 (1 个), 未达到恶意判定阈值",,0,0,0,0,1
data\samples\benign\thinkphp_Build_1.php,thinkphp_Build_1.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Cache.php,thinkphp_Cache.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Clear.php,thinkphp_Clear.php,benign,benign,none,none,benign,none,,none,0.3,none,文件管理功能 (2 个),"检测到低风险特征 (1 个), 未达到恶意判定阈值",,0,0,0,0,1
data\samples\benign\thinkphp_Collection.php,thinkphp_Collection.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Command.php,thinkphp_Command.php,benign,benign,none,none,malicious,webshell,,string_split,0.7,medium,字符串拼接还原函数名,"规则匹配触发 1 条规则, 字符串拼接还原函数名",,0,0,0,0,0
data\samples\benign\thinkphp_Config.php,thinkphp_Config.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Config_1.php,thinkphp_Config_1.php,benign,benign,none,none,benign,none,,none,0.3,none,文件管理功能 (3 个),"检测到低风险特征 (1 个), 未达到恶意判定阈值",,0,0,0,0,1
data\samples\benign\thinkphp_Console_1.php,thinkphp_Console_1.php,benign,benign,none,none,malicious,webshell,,string_split,0.7,medium,字符串拼接还原函数名,"规则匹配触发 1 条规则, 字符串拼接还原函数名",,0,0,0,0,0
data\samples\benign\thinkphp_Controller.php,thinkphp_Controller.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Controller_1.php,thinkphp_Controller_1.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Cookie.php,thinkphp_Cookie.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Db.php,thinkphp_Db.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Debug.php,thinkphp_Debug.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Definition.php,thinkphp_Definition.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Descriptor.php,thinkphp_Descriptor.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Driver.php,thinkphp_Driver.php,benign,benign,none,none,malicious,webshell,,string_split,0.7,medium,字符串拼接还原函数名,"规则匹配触发 1 条规则, 字符串拼接还原函数名",,0,0,0,0,0
data\samples\benign\thinkphp_Env.php,thinkphp_Env.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Error.php,thinkphp_Error.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Exception.php,thinkphp_Exception.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_File.php,thinkphp_File.php,benign,benign,none,none,benign,none,,none,0.3,none,文件管理功能 (3 个),"检测到低风险特征 (1 个), 未达到恶意判定阈值",,0,0,0,0,1
data\samples\benign\thinkphp_File_1.php,thinkphp_File_1.php,benign,benign,none,none,benign,none,,none,0.3,none,文件管理功能 (5 个),"检测到低风险特征 (1 个), 未达到恶意判定阈值",,0,0,0,0,1
data\samples\benign\thinkphp_Help.php,thinkphp_Help.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Hook.php,thinkphp_Hook.php,benign,benign,none,none,malicious,webshell,,none,1.0,high,exec(); exec(),"规则匹配触发 2 条规则, exec(), exec()",,0,0,0,0,0
data\samples\benign\thinkphp_Input.php,thinkphp_Input.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Lang.php,thinkphp_Lang.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Lists.php,thinkphp_Lists.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Lite.php,thinkphp_Lite.php,benign,benign,none,none,benign,none,,none,0.3,none,文件管理功能 (3 个),"检测到低风险特征 (1 个), 未达到恶意判定阈值",,0,0,0,0,1
data\samples\benign\thinkphp_Loader.php,thinkphp_Loader.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Log.php,thinkphp_Log.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Make.php,thinkphp_Make.php,benign,benign,none,none,malicious,webshell,,string_split,1.0,high,字符串拼接还原函数名; 文件管理功能 (3 个),"规则匹配触发 4 条规则, 字符串拼接还原函数名, 文件管理功能 (3 个)",,0,0,0,0,0
data\samples\benign\thinkphp_Memcache.php,thinkphp_Memcache.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Memcached.php,thinkphp_Memcached.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Model.php,thinkphp_Model.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Option.php,thinkphp_Option.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Output.php,thinkphp_Output.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Paginator.php,thinkphp_Paginator.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Process.php,thinkphp_Process.php,benign,benign,none,none,malicious,webshell,,none,1.0,high,exec(); proc_open(); exec(),"规则匹配触发 3 条规则, exec(), proc_open(), exec()",,0,0,0,0,0
data\samples\benign\thinkphp_Redis.php,thinkphp_Redis.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Response.php,thinkphp_Response.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Route.php,thinkphp_Route.php,benign,benign,none,none,malicious,webshell,,string_split,1.0,high,字符串拼接还原函数名; 文件管理功能 (2 个),"规则匹配触发 3 条规则, 字符串拼接还原函数名, 文件管理功能 (2 个)",,0,0,0,0,0
data\samples\benign\thinkphp_Schema.php,thinkphp_Schema.php,benign,benign,none,none,benign,none,,none,0.3,none,文件管理功能 (3 个),"检测到低风险特征 (1 个), 未达到恶意判定阈值",,0,0,0,0,1
data\samples\benign\thinkphp_Session.php,thinkphp_Session.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Sqlite.php,thinkphp_Sqlite.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Template.php,thinkphp_Template.php,benign,benign,none,none,malicious,webshell,,string_split,0.8,medium,字符串拼接还原函数名; 文件操作函数,"规则匹配触发 2 条规则, 字符串拼接还原函数名, 文件操作函数",,0,0,0,0,0
data\samples\benign\thinkphp_Url.php,thinkphp_Url.php,benign,benign,none,none,malicious,webshell,,string_split,0.7,medium,字符串拼接还原函数名,"规则匹配触发 1 条规则, 字符串拼接还原函数名",,0,0,0,0,0
data\samples\benign\thinkphp_Validate.php,thinkphp_Validate.php,benign,benign,none,none,malicious,webshell,,string_split,1.0,high,exec() + 用户输入; exec() + 用户输入; 字符串拼接还原函数名,"规则匹配触发 3 条规则, exec() + 用户输入, exec() + 用户输入, 字符串拼接还原函数名",,0,0,0,0,0
data\samples\benign\thinkphp_View.php,thinkphp_View.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Wincache.php,thinkphp_Wincache.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_Xcache.php,thinkphp_Xcache.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_base.php,thinkphp_base.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_console.php,thinkphp_console.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_convention.php,thinkphp_convention.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_helper.php,thinkphp_helper.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_start.php,thinkphp_start.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\thinkphp_zh-cn.php,thinkphp_zh-cn.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\wordpress_abilities-api.php,wordpress_abilities-api.php,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\wordpress_abilities.php,wordpress_abilities.php,benign,benign,none,none,malicious,webshell,,string_split,0.7,medium,字符串拼接还原函数名,"规则匹配触发 1 条规则, 字符串拼接还原函数名",,0,0,0,0,0
