分析维度,文件名,Run A/DS标签,Run B/Qwen标签,Run C标签,真实标签,类别,A置信度,B置信度
跨策略(FS vs CoT),tennc_webshell_create-activex-object.asp,malicious,unknown,,malicious,webshell,,
跨策略(FS vs CoT),johnTroony_php_webshells_h4ntu_shell_comment_bypass.php,malicious,unknown,,malicious,obfuscated,,
跨策略(FS vs CoT),tennc_webshell_shell2020-12-06_xor.php,malicious,unknown,,malicious,obfuscated,,
跨策略(FS vs CoT),tennc_webshell_php_create_function_xor.php,malicious,unknown,,malicious,obfuscated,,
跨策略(FS vs CoT),tennc_webshell_shell-2021-03-18_base64.php,malicious,unknown,,malicious,obfuscated,,
跨模型(DS vs Qwen),johnTroony_php_webshells_Ayyildiz_Tim_string_split.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),tennc_webshell_shell-2021-03-18_comment_bypass.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),tennc_webshell_php1_base64.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_Ayyildiz_Tim_base64.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),tennc_webshell_shell2020-12-06_comment_bypass.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_fatal_comment_bypass.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_060.txt,malicious,unknown,,malicious,sqli,0.9,0.0
跨模型(DS vs Qwen),tennc_webshell_vbencode-bypass.asp,malicious,unknown,,malicious,webshell,0.75,0.0
跨模型(DS vs Qwen),tennc_webshell_php_custom_spy_for_mysql_xor.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_php_custom_spy_for_mysql_string_split.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_h4ntu_shell_base64.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),tennc_webshell_spexec.aspx,unknown,malicious,,malicious,webshell,0.0,0.92
跨模型(DS vs Qwen),tennc_webshell_shell-2021-03-18_xor.php,malicious,unknown,,malicious,obfuscated,0.95,0.0
跨模型(DS vs Qwen),tennc_webshell_bypass01_xor.php,malicious,unknown,,malicious,obfuscated,0.95,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_GRP_WebShell_comment_bypass.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),tennc_webshell_shell-2021-04-23_base64.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_046.txt,malicious,unknown,,malicious,sqli,0.98,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_Antichat_Shell_xor.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_back_comment_bypass.py,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_075.txt,malicious,unknown,,malicious,sqli,0.95,0.0
跨模型(DS vs Qwen),tennc_webshell_php3_xor.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_Antichat_Shell_string_split.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),tennc_webshell_python2_custom_script_base64.py,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_081.txt,malicious,unknown,,malicious,sqli,0.95,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_077.txt,malicious,unknown,,malicious,sqli,0.95,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_cpanel_xor.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_CrystalShell_xor.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_GRP_WebShell_base64.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),tennc_webshell_proxy.py,malicious,benign,,malicious,webshell,0.9,0.9
跨模型(DS vs Qwen),tennc_webshell_3802.php,benign,unknown,,malicious,webshell,0.95,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_h4ntu_shell_comment_bypass.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_051.txt,malicious,unknown,,malicious,sqli,0.98,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_040.txt,malicious,unknown,,malicious,sqli,0.96,0.0
跨模型(DS vs Qwen),tennc_webshell_404_xor.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_070.txt,malicious,unknown,,malicious,sqli,0.95,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_Antichat_Shell_comment_bypass.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_042.txt,malicious,unknown,,malicious,sqli,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_shell2020-12-06_xor.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_configkillerionkros_comment_bypass.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_GFS_web-shell_xor.php,malicious,unknown,,malicious,obfuscated,0.95,0.0
跨模型(DS vs Qwen),tennc_webshell_php_create_function_xor.php,malicious,unknown,,malicious,obfuscated,0.95,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_062.txt,malicious,unknown,,malicious,sqli,0.95,0.0
跨模型(DS vs Qwen),tennc_webshell_shell-2021-03-18_base64.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),tennc_webshell_back_base64.py,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_033.txt,malicious,unknown,,malicious,sqli,0.95,0.0
跨模型(DS vs Qwen),tennc_webshell_php_niu_3_base64.php,malicious,unknown,,malicious,obfuscated,0.96,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_035.txt,malicious,unknown,,malicious,sqli,0.98,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_cpanel_base64.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),tennc_webshell_python2_custom_script_comment_bypass.py,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_php_custom_script_for_mysql_fix_xor.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_bypass01_comment_bypass.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_055.txt,malicious,unknown,,malicious,sqli,0.98,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_074.txt,malicious,unknown,,malicious,sqli,0.95,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_052.txt,malicious,unknown,,malicious,sqli,0.96,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_063.txt,malicious,unknown,,malicious,sqli,0.98,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_Ayyildiz_Tim_comment_bypass.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_041.txt,malicious,unknown,,malicious,sqli,0.98,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_064.txt,malicious,unknown,,malicious,sqli,0.95,0.0
跨模型(DS vs Qwen),tennc_webshell_shell2020-12-06_string_split.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_h4ntu_shell_xor.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_hiddens_shell_xor.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_045.txt,malicious,unknown,,malicious,sqli,0.96,0.0
跨模型(DS vs Qwen),tennc_webshell_bypass01_base64.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_cpanel_string_split.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_071.txt,malicious,unknown,,malicious,sqli,0.95,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_069.txt,malicious,unknown,,malicious,sqli,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_back_string_split.py,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_3802_xor.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_php_create_function_comment_bypass.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_hiddens_shell_base64.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_php_custom_spy_for_mysql_comment_bypass.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),tennc_webshell_shell-2021-04-23_xor.php,malicious,unknown,,malicious,obfuscated,0.95,0.0
跨模型(DS vs Qwen),tennc_webshell_php_niu_3_xor.php,malicious,unknown,,malicious,obfuscated,0.9,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_036.txt,malicious,unknown,,malicious,sqli,0.98,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_044.txt,malicious,unknown,,malicious,sqli,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_back_comment_bypass.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),tennc_webshell_php1_xor.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_back_base64.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_GRP_WebShell_xor.php,malicious,unknown,,malicious,obfuscated,0.95,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_go-shell_base64.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_066.txt,malicious,unknown,,malicious,sqli,0.99,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_034.txt,malicious,unknown,,malicious,sqli,0.98,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_065.txt,malicious,unknown,,malicious,sqli,0.95,0.0
跨模型(DS vs Qwen),tennc_webshell_php_custom_script_for_mysql_fix_comment_bypass.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_067.txt,malicious,unknown,,malicious,sqli,0.95,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_073.txt,malicious,unknown,,malicious,sqli,0.9,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_037.txt,malicious,unknown,,malicious,sqli,0.95,0.0
跨模型(DS vs Qwen),tennc_webshell_php_custom_script_for_mysql_fix_string_split.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_078.txt,malicious,unknown,,malicious,sqli,0.9,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_061.txt,malicious,unknown,,malicious,sqli,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_php2_xor.php,malicious,unknown,,malicious,obfuscated,0.95,0.0
跨模型(DS vs Qwen),tennc_webshell_shell-2021-04-23_comment_bypass.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_076.txt,malicious,unknown,,malicious,sqli,0.96,0.0
跨模型(DS vs Qwen),tennc_webshell_python2_custom_script_string_split.py,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_080.txt,malicious,unknown,,malicious,sqli,0.98,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_047.txt,malicious,unknown,,malicious,sqli,0.98,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_c99_madnet_xor.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_configkillerionkros_xor.php,malicious,unknown,,malicious,obfuscated,0.95,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_GFS_web-shell_base64.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_CrystalShell_base64.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),tennc_webshell_proxy_base64.py,malicious,unknown,,malicious,obfuscated,0.9,0.0
跨模型(DS vs Qwen),tennc_webshell_back_xor.py,malicious,unknown,,malicious,obfuscated,0.95,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_c99_madnet_comment_bypass.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_proxy_xor.py,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_h4ntu_shell_string_split.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_082.txt,malicious,unknown,,malicious,sqli,0.95,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_043.txt,malicious,unknown,,malicious,sqli,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_back_string_split.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_c99_madnet.php,malicious,unknown,,malicious,webshell,0.98,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_058.txt,malicious,unknown,,malicious,sqli,0.95,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_fatal_xor.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_054.txt,malicious,unknown,,malicious,sqli,0.9,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_050.txt,malicious,unknown,,malicious,sqli,0.98,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_cpanel_comment_bypass.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_404_base64.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_c99_madnet_string_split.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_php_custom_script_for_mysql_fix_base64.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),tennc_webshell_php_create_function_base64.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_shell2020-12-06_base64.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_hiddens_shell_string_split.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),tennc_webshell_php_custom_spy_for_mysql_base64.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_configkillerionkros_string_split.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_059.txt,malicious,unknown,,malicious,sqli,0.92,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_fatal_base64.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_configkillerionkros_base64.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_GRP_WebShell_string_split.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_048.txt,malicious,unknown,,malicious,sqli,0.96,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_079.txt,malicious,unknown,,malicious,sqli,0.95,0.0
跨模型(DS vs Qwen),tennc_webshell_php2_base64.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_057.txt,malicious,unknown,,malicious,sqli,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_php3_base64.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_c99_madnet_base64.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_3802_base64.php,benign,unknown,,malicious,obfuscated,0.88,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_049.txt,malicious,unknown,,malicious,sqli,0.96,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_fatal_string_split.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_CrystalShell_comment_bypass.php,malicious,unknown,,malicious,obfuscated,1.0,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_hiddens_shell_comment_bypass.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_056.txt,malicious,unknown,,malicious,sqli,0.95,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_CrystalShell_string_split.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_072.txt,malicious,unknown,,malicious,sqli,0.95,0.0
跨模型(DS vs Qwen),tennc_webshell_php_create_function_string_split.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_bypass01_string_split.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_go-shell_xor.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_053.txt,malicious,unknown,,malicious,sqli,0.99,0.0
跨模型(DS vs Qwen),builtin_sqli_payload_068.txt,malicious,unknown,,malicious,sqli,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_python2_custom_script_xor.py,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_Ayyildiz_Tim_xor.php,malicious,unknown,,malicious,obfuscated,0.98,0.0
跨模型(DS vs Qwen),tennc_webshell_shell-2021-04-23_string_split.php,malicious,unknown,,malicious,obfuscated,1.0,0.0
跨模型(DS vs Qwen),tennc_webshell_shell-2021-03-18_string_split.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),tennc_webshell_back_xor.php,malicious,unknown,,malicious,obfuscated,0.96,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_GFS_web-shell_string_split.php,malicious,unknown,,malicious,obfuscated,1.0,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_GFS_web-shell_comment_bypass.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
跨模型(DS vs Qwen),johnTroony_php_webshells_Antichat_Shell_base64.php,malicious,unknown,,malicious,obfuscated,0.99,0.0
