file_path,filename,category,true_label,true_malware_type,true_obfuscation,pred_label,pred_malware_type,pred_subtype,pred_obfuscation,pred_confidence,pred_risk_level,indicators,reason,parse_error,latency_ms,total_tokens,prompt_tokens,completion_tokens,correct
data\samples\benign\flask_examples_helpers.py,flask_examples_helpers.py,benign,benign,none,none,benign,none,Flask框架标准辅助函数模块,none,0.99,none,send_file; send_from_directory; __import__; getattr; 但均为框架正常使用且输入受控,代码为Flask框架的helpers.py，提供标准Web辅助功能。未发现eval/system/exec等危险函数，用户输入未流向动态导入或文件发送等敏感操作，且无任何混淆迹象。文件发送功能send_file/send_from_directory为框架合法功能，并使用Werkzeug的安全路径处理。,,17282,8626,6690,1936,1
data\samples\benign\flask_examples_logging.py,flask_examples_logging.py,benign,benign,none,none,benign,none,Flask 日志配置模块,none,0.99,none,,代码为 Flask 框架官方 logging 模块，仅实现日志级别检查和 logger 配置，无 eval/system/exec 等危险函数，无可控输入触发的命令执行或代码执行路径，无混淆手段，属于正常业务逻辑。,,13968,2847,1323,1524,1
data\samples\benign\flask_examples_make_celery.py,flask_examples_make_celery.py,benign,benign,none,none,benign,none,正常 Flask 应用初始化,none,1.0,none,,代码仅导入并初始化 Flask 应用及 Celery 扩展，无危险函数调用、无用户输入、无混淆或恶意行为，属于正常框架代码。,,4302,1272,735,537,1
data\samples\benign\flask_examples_provider.py,flask_examples_provider.py,benign,benign,none,none,benign,none,none,none,1.0,none,,该代码是 Flask 框架中正常的 JSONProvider 实现，仅提供 JSON 序列化与反序列化功能，无任何危险函数调用（eval/system/exec/base64_decode 等），无用户输入流向危险操作的数据流，无混淆手法，不存在 webshell、SQL 注入或后门行为。,,8895,3699,2594,1105,1
data\samples\benign\flask_examples_sessions.py,flask_examples_sessions.py,benign,benign,none,none,benign,none,Flask 会话管理模块正常代码,none,0.98,none,,代码为 Flask 框架标准会话模块，使用 itsdangerous 对 Cookie 进行签名和验签，未发现 eval/system/exec 等危险函数，也没有混淆手段或恶意载荷。用户输入仅流向签名解析逻辑，不构成任意代码执行风险。,,8802,5150,4208,942,1
data\samples\benign\flask_examples_signals.py,flask_examples_signals.py,benign,benign,none,none,benign,none,Flask框架正常信号定义模块,none,1.0,none,,代码为Flask框架中signals.py的标准实现，仅定义信号对象，无任何危险函数调用、用户输入处理或混淆特征。,,5593,1524,901,623,1
data\samples\benign\flask_examples_tag.py,flask_examples_tag.py,benign,benign,none,none,benign,none,正常框架代码 — Flask Tagged JSON 序列化模块,none,0.99,none,b64decode; b64encode,代码为 Flask 框架的 Tagged JSON 序列化模块，用于安全地将非标准 JSON 类型（如 bytes、datetime、UUID 等）序列化；base64 仅用于 bytes 格式的编解码，无 eval/system/exec 等危险函数，无用户输入到危险函数的路径，无混淆手段，属于正常业务逻辑。,,13053,4610,3047,1563,1
data\samples\benign\flask_examples_tasks.py,flask_examples_tasks.py,benign,benign,none,none,benign,none,celery_task_definitions,none,0.99,none,,代码为 Celery 后台任务的标准定义，仅包含算术运算、睡眠和状态更新，无危险函数、无外部输入、无命令执行、无网络连接、无混淆特征。,,5593,1479,839,640,1
data\samples\benign\flask_examples_templating.py,flask_examples_templating.py,benign,benign,none,none,benign,none,正常 Flask 模板渲染模块,none,0.98,none,,代码为 Flask 框架的 Jinja2 模板渲染封装，功能包括模板加载、环境配置和渲染接口。未发现 eval/system/exec 等危险函数调用，无 base64 解码、字符串拼接、异或混淆等恶意特征。render_template_string 虽可渲染模板源码，但属于正常框架功能；若被业务层以不可信输入调用可能产生 SSTI，但该代码本身不是恶意代码。,,13826,3935,2459,1476,1
data\samples\benign\flask_examples_testing.py,flask_examples_testing.py,benign,benign,none,none,benign,none,Flask 框架正常测试客户端模块（flask.testing）,none,0.98,none,无危险函数调用; werkzeug.test.Client 正常继承; click.testing.CliRunner 正常继承; importlib.metadata.version 获取版本,代码为 Flask 框架的测试工具模块，包含 EnvironBuilder、FlaskClient、FlaskCliRunner 等正常测试类；无 eval/system/exec/base64_decode 等危险函数，无用户输入到危险操作的路径，无混淆特征。属于正常框架代码。,,15604,4839,3107,1732,1
data\samples\benign\flask_examples_typing.py,flask_examples_typing.py,benign,benign,none,none,benign,none,正常框架类型定义,none,1.0,none,,代码为 Flask 框架的类型标注模块，仅包含类型别名定义，无任何用户输入处理或危险函数调用，不存在恶意行为。,,6087,2164,1549,615,1
data\samples\benign\flask_examples_views.py,flask_examples_views.py,benign,benign,none,none,benign,none,Celery 任务提交与结果查询的 Flask API,none,0.95,none,,代码实现的是 Flask 蓝图与 Celery 异步任务的常规交互，无 eval/system/exec 等危险函数，用户输入仅作为任务参数或任务 ID 查询使用，未流向命令执行、文件操作或动态代码执行，无任何混淆特征。,,9242,1867,953,914,1
data\samples\benign\flask_examples_views_1.py,flask_examples_views_1.py,benign,benign,none,none,benign,none,正常 Flask Web 应用计算接口,none,0.98,none,,代码为 Flask 路由和简单数值相加逻辑，无任何危险函数调用或用户输入到敏感操作的路径，无混淆特征。,,5383,1374,831,543,1
data\samples\benign\flask_examples_views_2.py,flask_examples_views_2.py,benign,benign,none,none,benign,none,Flask 框架类视图实现，无恶意行为,none,1.0,none,,代码是 Flask 框架的 views 模块，提供 View 和 MethodView 类，用于正常的类视图路由分发。未使用任何危险函数（eval/exec/system 等），无用户输入到危险函数的数据流，无混淆特征。动态调用仅用于请求方法分发，属于框架标准设计。,,7560,3288,2404,884,1
data\samples\benign\flask_examples_wrappers.py,flask_examples_wrappers.py,benign,benign,none,none,benign,none,Flask 框架正常代码（wrappers.py 请求/响应对象）,none,1.0,none,,代码为 Flask 框架的标准源码，仅定义 Request/Response 类，无任何危险函数调用、用户输入处理或混淆技术。,,6257,3657,2952,705,1
data\samples\benign\laravel_AnonymousEvent.php,laravel_AnonymousEvent.php,benign,benign,none,none,benign,none,Laravel框架合法广播事件类,none,1.0,none,,代码为 Laravel 框架标准的 AnonymousEvent 广播事件类，无任何危险函数调用，无用户输入到达敏感函数，无混淆痕迹，属正常业务逻辑代码。,,5092,2023,1474,549,1
data\samples\benign\laravel_Attempting.php,laravel_Attempting.php,benign,benign,none,none,benign,none,正常框架事件类,none,1.0,none,,代码为 Laravel 框架标准事件类，仅包含构造函数属性赋值，无任何危险函数、用户输入执行、系统命令调用或混淆手段，属于正常业务逻辑。,,5676,1428,822,606,1
data\samples\benign\laravel_AuthManager.php,laravel_AuthManager.php,benign,benign,none,none,benign,none,Laravel框架认证管理器正常代码,none,1.0,none,,代码为Laravel框架AuthManager类的标准实现，无危险函数调用，无用户输入到达执行点，无混淆技术，属于正常业务框架代码。,,7498,3663,2901,762,1
data\samples\benign\laravel_AuthServiceProvider.php,laravel_AuthServiceProvider.php,benign,benign,none,none,benign,none,Laravel框架认证服务提供者源码,none,1.0,none,call_user_func（框架内部合法回调，输入受控）,该代码为 Laravel 框架官方 AuthServiceProvider 服务提供者，用于在服务容器中注册认证管理器、用户解析器、访问门卫等核心服务。虽然使用了 call_user_func，但其参数来自框架内部容器绑定和回调，无任何用户输入可达，不存在命令执行、文件操作、SQL 注入或后门连接等恶意行为，代码清晰规范，无混淆迹象，判定为良性框架代码。,,13423,3031,1415,1616,1
data\samples\benign\laravel_Authenticatable.php,laravel_Authenticatable.php,benign,benign,none,none,benign,none,none,none,0.99,none,,代码为 Laravel 框架中标准的 Authenticatable trait，仅提供认证相关的属性 getter/setter 方法，无任何危险函数、用户输入或混淆手段，属于正常框架代码。,,7050,1993,1223,770,1
data\samples\benign\laravel_Authenticate.php,laravel_Authenticate.php,benign,benign,none,none,benign,none,Laravel 框架认证中间件,none,0.98,none,call_user_func（开发者注册的回调，非用户输入控制）,这是 Laravel 框架自带的 Authenticate 认证中间件，用于检查用户登录状态并处理未认证跳转。代码中不存在 eval/system/exec/base64_decode 等危险执行函数，也未发现任何混淆手法。唯一可能敏感的 call_user_func 回调由开发者通过静态方法主动注册，不是从 $_GET/$_POST/$_REQUEST 等用户输入获取，因此不构成恶意代码。,,11662,2817,1491,1326,1
data\samples\benign\laravel_AuthenticateWithBasicAuth.php,laravel_AuthenticateWithBasicAuth.php,benign,benign,none,none,benign,none,Laravel框架正常中间件（HTTP Basic认证）,none,1.0,none,,代码为 Laravel 框架标准中间件 AuthenticateWithBasicAuth，仅执行 HTTP Basic 认证和中间件管道流转，无危险函数调用，无用户输入到敏感操作的数据流，无混淆痕迹，属于正常框架业务代码。,,6879,1809,1052,757,1
data\samples\benign\laravel_Authenticated.php,laravel_Authenticated.php,benign,benign,none,none,benign,none,Laravel框架事件类，正常业务代码,none,1.0,none,,代码为Laravel框架的标准事件类，仅定义构造函数和属性，无任何危险函数调用、用户输入处理或混淆手段，属于正常框架代码。,,4671,1315,811,504,1
data\samples\benign\laravel_AuthenticationException.php,laravel_AuthenticationException.php,benign,benign,none,none,benign,none,正常框架代码：Laravel 认证异常类,none,0.99,none,,代码为 Laravel 框架的 AuthenticationException 类，属于标准异常处理逻辑。未发现 eval/system/exec 等危险函数，无用户输入进入动态调用，亦无 base64、字符串拼接、异或等混淆特征。call_user_func 仅调用开发者显式注册的可信回调，不属于恶意行为。,,9229,2222,1138,1084,1
data\samples\benign\laravel_AuthorizationException.php,laravel_AuthorizationException.php,benign,benign,none,none,benign,none,Laravel 框架授权异常类,none,0.98,none,,代码为 Laravel 框架中 AuthorizationException 异常类的正常实现，不包含任何危险函数、用户输入处理、命令执行、后门连接或混淆技术，属于合法框架代码。,,8080,1964,1250,714,1
data\samples\benign\laravel_Authorize.php,laravel_Authorize.php,benign,benign,none,none,benign,none,Laravel 框架授权中间件（正常业务代码）,none,0.99,none,,代码为 Laravel 框架 Illuminate\Auth\Middleware\Authorize 标准中间件，职责是通过 Gate 进行授权校验。未发现 eval/system/exec/base64_decode 等危险函数，用户输入仅用于授权参数解析且不会进入代码执行或命令执行路径，也不存在混淆手段。,,17199,2762,1380,1382,1
data\samples\benign\laravel_BroadcastController.php,laravel_BroadcastController.php,benign,benign,none,none,benign,none,正常 Laravel 框架控制器,none,1.0,none,,代码为 Laravel 框架中 Broadcasting 组件的标准控制器，仅实现频道认证逻辑，未包含任何危险函数（eval/system/exec/base64_decode 等），用户输入仅用于会话检查并传递给框架内部认证方法，无命令执行、文件操作、SQL 注入或代码执行风险，无任何混淆特征。,,6510,1782,973,809,1
data\samples\benign\laravel_BroadcastEvent.php,laravel_BroadcastEvent.php,benign,benign,none,none,benign,none,Laravel 框架事件广播队列任务类,none,1.0,none,,代码为 Laravel 框架标准类，无危险函数调用，无用户输入，无混淆或恶意行为,,9502,3201,2169,1032,1
data\samples\benign\laravel_BroadcastManager.php,laravel_BroadcastManager.php,benign,benign,none,none,benign,none,Laravel框架正常广播管理器代码,none,1.0,none,,代码为Laravel框架官方BroadcastManager类，实现广播驱动管理和事件广播等正常业务逻辑；未发现eval/system/exec等危险函数，无用户输入到达危险操作，无任何混淆或后门特征,,10768,5666,4439,1227,1
data\samples\benign\laravel_BroadcastServiceProvider.php,laravel_BroadcastServiceProvider.php,benign,benign,none,none,benign,none,Laravel框架正常服务提供者,none,1.0,none,,代码为 Laravel 框架标准的 BroadcastServiceProvider 类，仅做依赖注入容器注册，未使用任何危险函数，无用户输入处理，无混淆技术，属于正常业务逻辑。,,4663,1493,946,547,1
data\samples\benign\laravel_CacheTokenRepository.php,laravel_CacheTokenRepository.php,benign,benign,none,none,benign,none,Laravel框架正常密码重置令牌仓储类,none,0.99,none,,代码为Laravel框架中CacheTokenRepository类的标准实现，仅涉及缓存操作、哈希验证和日期处理，无任何危险函数调用，用户输入无法触达执行或命令操作，且不存在混淆特征。,,9556,2701,1599,1102,1
data\samples\benign\laravel_CanResetPassword.php,laravel_CanResetPassword.php,benign,benign,none,none,benign,none,Laravel框架标准密码重置Trait,none,1.0,none,,代码为Laravel框架中的标准trait，用于获取邮箱和发送密码重置通知，不包含任何危险函数、用户输入处理或混淆手段，完全符合正常业务逻辑。,,5271,1439,849,590,1
data\samples\benign\laravel_Channel.php,laravel_Channel.php,benign,benign,none,none,benign,none,正常框架代码，Laravel 广播频道类,none,1.0,none,,代码为 Laravel 框架标准 Channel 类实现，无危险函数调用，无外部输入流向敏感操作，无混淆特征，属于正常业务逻辑。,,6278,1615,880,735,1
data\samples\benign\laravel_ClearResetsCommand.php,laravel_ClearResetsCommand.php,benign,benign,none,none,benign,none,Laravel 框架合法控制台命令,none,1.0,none,,代码为 Laravel 标准 auth:clear-resets 命令，仅调用框架密码代理清除过期令牌，无危险函数、无用户输入到敏感操作的数据流、无混淆，属于正常业务逻辑。,,6222,1611,909,702,1
data\samples\benign\laravel_CreatesUserProviders.php,laravel_CreatesUserProviders.php,benign,benign,none,none,benign,none,Laravel认证框架正常代码,none,0.98,none,call_user_func（受控调用）,代码为Laravel框架的CreatesUserProviders trait，用于创建认证用户提供器。虽然使用了call_user_func，但回调来自内部注册的自定义提供者创建器，非用户输入直接控制。无eval/system/exec等危险函数，无外部输入可达敏感操作，无混淆手段。,,7039,2013,1255,758,1
data\samples\benign\laravel_CurrentDeviceLogout.php,laravel_CurrentDeviceLogout.php,benign,benign,none,none,benign,none,Laravel 框架事件类定义,none,0.98,none,无危险函数; 无用户输入; 无混淆技术; 标准框架类结构,代码为 Laravel 框架标准事件类，仅定义构造函数并存储 guard 和 user 属性，无危险函数调用，无用户输入数据流，无混淆特征，不存在恶意行为。,,7407,1606,813,793,1
data\samples\benign\laravel_DatabaseTokenRepository.php,laravel_DatabaseTokenRepository.php,benign,benign,none,none,benign,none,none,none,0.98,none,,代码为 Laravel 框架中密码重置令牌仓库的标准实现，包含正常的数据库查询、哈希校验和令牌生成逻辑。未发现 eval/system/exec 等危险函数，未发现用户输入流向危险操作，不存在 base64 编码、字符串拼接、异或运算等混淆手段，也没有 webshell、SQL 注入或后门行为。,,14401,3562,1998,1564,1
data\samples\benign\laravel_DatabaseUserProvider.php,laravel_DatabaseUserProvider.php,benign,benign,none,none,benign,none,Laravel 框架认证数据库用户提供者,none,1.0,none,,代码为 Laravel 框架标准 DatabaseUserProvider 实现，使用查询构造器进行参数绑定查询和哈希校验，无危险函数调用，无用户输入直接进入危险函数，无混淆技术，非恶意代码。,,7084,2928,2047,881,1
data\samples\benign\laravel_EloquentUserProvider.php,laravel_EloquentUserProvider.php,benign,benign,none,none,benign,none,Laravel 框架标准用户认证 Provider 实现,none,0.99,none,namespace Illuminate\Auth; class EloquentUserProvider; hash_equals 密码哈希安全比较; Laravel Eloquent 查询构造器; 未发现恶意代码执行模式,代码是 Laravel 框架中 EloquentUserProvider 的正常实现，用于用户认证与密码校验。未发现 eval/system/exec/base64_decode 等危险函数，也未发现用户输入流向危险函数的数据流。动态 new $class 使用的是框架配置的模型类，不属于外部可控输入。无混淆、无后门、无注入载荷。,,9604,3639,2541,1098,1
data\samples\benign\laravel_EncryptedPrivateChannel.php,laravel_EncryptedPrivateChannel.php,benign,benign,none,none,benign,none,Laravel 框架广播频道类正常代码,none,1.0,none,,代码为 Laravel 框架中 EncryptedPrivateChannel 类的正常实现，仅构造函数拼接字符串并调用父类构造函数，无危险函数、无用户输入执行路径、无混淆特征、无恶意行为。,,5666,1457,778,679,1
data\samples\benign\laravel_EnsureEmailIsVerified.php,laravel_EnsureEmailIsVerified.php,benign,benign,none,none,benign,none,Laravel 邮箱验证中间件,none,1.0,none,,代码为 Laravel 框架标准中间件，仅执行用户状态验证和重定向逻辑，未使用任何危险函数，无用户输入流向敏感操作，无混淆特征。,,6372,1727,982,745,1
data\samples\benign\laravel_Failed.php,laravel_Failed.php,benign,benign,none,none,benign,none,Laravel 框架标准认证事件类,none,1.0,none,,代码为 Laravel 框架中 Illuminate\Auth\Events\Failed 事件类，仅定义构造函数接收认证相关参数，无任何危险函数、用户输入或混淆手法，属正常框架代码。,,3994,1319,834,485,1
data\samples\benign\laravel_FakePendingBroadcast.php,laravel_FakePendingBroadcast.php,benign,benign,none,none,benign,none,正常框架测试桩类,none,1.0,none,,代码为 Laravel 框架中的 FakePendingBroadcast 类，仅包含空方法或返回 $this 的简单实现，无任何危险函数调用、无用户输入处理、无混淆手段，属于正常业务/测试辅助代码。,,5059,1435,881,554,1
data\samples\benign\laravel_Gate.php,laravel_Gate.php,benign,benign,none,none,benign,none,Laravel Framework Gate 授权组件,none,0.98,none,call_user_func 但参数受控,代码为 Laravel 框架标准授权类，无恶意功能，无用户输入到达危险函数，无混淆特征。,,9708,8281,7180,1101,1
data\samples\benign\laravel_GateEvaluated.php,laravel_GateEvaluated.php,benign,benign,none,none,benign,none,Laravel框架授权事件类（GateEvaluated）,none,0.99,none,,代码为Laravel框架中标准的事件类，仅包含属性定义与构造函数赋值，无危险函数、无用户输入处理、无混淆特征，属于正常业务代码。,,4969,1538,956,582,1
data\samples\benign\laravel_GenericUser.php,laravel_GenericUser.php,benign,benign,none,none,benign,none,Laravel 框架认证用户类 GenericUser,none,0.98,none,,代码为 Laravel 框架中 Illuminate\Auth\GenericUser 类，实现认证接口并封装用户属性操作，未发现 eval/system/exec/base64_decode 等危险函数，也未接收任何外部用户输入，无命令执行、SQL 注入、文件操作或后门连接行为，属于正常框架代码。,,7601,2329,1385,944,1
data\samples\benign\laravel_GuardHelpers.php,laravel_GuardHelpers.php,benign,benign,none,none,benign,none,Laravel 框架认证辅助 Trait,none,1.0,none,,代码为 Laravel 框架的 GuardHelpers trait，仅包含认证相关的基础方法封装；无危险函数、无用户输入处理、无混淆技术，属于正常框架代码。,,9814,2548,1287,1261,1
data\samples\benign\laravel_HandlesAuthorization.php,laravel_HandlesAuthorization.php,benign,benign,none,none,benign,none,Laravel 框架授权处理 Trait,none,1.0,none,,代码是 Laravel 框架中 Illuminate\Auth\Access\HandlesAuthorization trait 的正常实现，仅包含 allow/deny 等授权辅助方法，无任何危险函数调用、无外部输入处理、无混淆特征，属于合法业务代码。,,1829,1226,1064,162,1
data\samples\benign\laravel_InteractsWithBroadcasting.php,laravel_InteractsWithBroadcasting.php,benign,benign,none,none,benign,none,Laravel框架广播连接管理trait,none,1.0,none,,代码为Laravel框架标准trait，仅管理广播连接配置，无危险函数、无外部输入处理、无混淆或恶意行为。,,5465,1563,915,648,1
data\samples\benign\laravel_InteractsWithSockets.php,laravel_InteractsWithSockets.php,benign,benign,none,none,benign,none,Laravel 框架正常广播处理 Trait,none,1.0,none,,代码为 Laravel 框架的标准 Trait，无任何危险函数调用，无用户输入，无混淆，属于正常业务逻辑。,,4215,1391,866,525,1
data\samples\benign\laravel_Lockout.php,laravel_Lockout.php,benign,benign,none,none,benign,none,Laravel 框架事件类,none,1.0,none,,代码为 Laravel 框架标准事件类，仅包含构造函数和属性赋值，无任何危险函数、用户输入执行或混淆手段。,,4349,1324,805,519,1
data\samples\benign\laravel_Login.php,laravel_Login.php,benign,benign,none,none,benign,none,Laravel 框架事件类,none,1.0,none,,代码为 Laravel 框架标准的 Login 事件类，仅包含构造函数和属性赋值，无危险函数、无用户输入处理、无混淆手段，不存在恶意行为。,,4240,1321,836,485,1
data\samples\benign\laravel_Logout.php,laravel_Logout.php,benign,benign,none,none,benign,none,正常框架事件类,none,1.0,none,,代码为 Laravel 框架的标准事件类，仅定义构造函数和属性，无危险函数、用户输入或混淆特征，完全属于正常业务代码。,,4857,1368,811,557,1
data\samples\benign\laravel_MustVerifyEmail.php,laravel_MustVerifyEmail.php,benign,benign,none,none,benign,none,Laravel框架的邮箱验证trait，正常业务逻辑,none,1.0,none,,代码为Laravel框架中MustVerifyEmail trait，仅实现邮箱验证相关功能，无用户输入处理，无危险函数调用，无混淆特征，属于正常框架代码。,,4293,1544,989,555,1
data\samples\benign\laravel_OtherDeviceLogout.php,laravel_OtherDeviceLogout.php,benign,benign,none,none,benign,none,Laravel 框架事件类,none,1.0,none,,代码为 Laravel 框架标准事件类，仅包含构造函数和属性声明，无任何危险函数、用户输入处理或混淆特征，完全符合框架业务逻辑。,,5187,1435,819,616,1
data\samples\benign\laravel_PasswordBroker.php,laravel_PasswordBroker.php,benign,benign,none,none,benign,none,Laravel 框架密码重置正常业务逻辑,none,0.99,none,,代码为 Laravel 框架 Illuminate\Auth\Passwords\PasswordBroker 类的标准实现，负责密码重置链接生成与密码重置流程。未发现 eval/system/exec 等危险函数，无用户输入到达敏感操作的可疑数据流，无任何混淆技术，属于正常的框架业务代码。,,8290,3376,2403,973,1
data\samples\benign\laravel_PasswordBrokerManager.php,laravel_PasswordBrokerManager.php,benign,benign,none,none,benign,none,Laravel框架的正常密码代理管理类,none,0.98,none,base64_decode被用于解码框架加密密钥，但属于正常功能,代码为Laravel框架中PasswordBrokerManager类的正常实现，负责密码重置代理的创建与配置读取。虽然包含base64_decode，但仅用于解码应用密钥配置，输入完全受控且为框架内部逻辑，无用户输入可达危险函数，未发现任何恶意行为或混淆技术。,,9582,2827,1728,1099,1
data\samples\benign\laravel_PasswordReset.php,laravel_PasswordReset.php,benign,benign,none,none,benign,none,Laravel 框架事件类,none,1.0,none,,代码为 Laravel 框架中的 PasswordReset 事件类，仅包含构造函数和属性提升赋值，无危险函数、无用户输入、无混淆、无可执行恶意逻辑，属于正常框架代码。,,6694,1530,790,740,1
data\samples\benign\laravel_PasswordResetLinkSent.php,laravel_PasswordResetLinkSent.php,benign,benign,none,none,benign,none,正常框架事件类,none,1.0,none,,代码为 Laravel 框架中的标准事件类定义，仅包含构造函数和属性赋值，无危险函数调用、用户输入处理或混淆特征，属于正常业务代码。,,6032,1455,793,662,1
data\samples\benign\laravel_PasswordResetServiceProvider.php,laravel_PasswordResetServiceProvider.php,benign,benign,none,none,benign,none,Laravel框架标准服务提供者（密码重置）,none,1.0,none,,代码是Laravel框架PasswordResetServiceProvider的标准实现，仅注册服务容器绑定，无危险函数、无用户输入处理、无混淆或恶意行为。,,8823,1894,929,965,1
data\samples\benign\laravel_PendingBroadcast.php,laravel_PendingBroadcast.php,benign,benign,none,none,benign,none,Laravel框架正常组件,none,0.98,none,,代码为Laravel框架中PendingBroadcast类的标准实现，无危险函数调用，无用户输入，无混淆，属于正常业务逻辑。,,6214,1789,1083,706,1
data\samples\benign\laravel_Recaller.php,laravel_Recaller.php,benign,benign,none,none,benign,none,Laravel 框架 Recallr 类，正常业务逻辑,none,0.97,low,unserialize; explode,代码为 Laravel 框架中处理 'remember me' cookie 的合法类。虽然使用了 unserialize，但设置了 allowed_classes=false 禁止对象实例化，且后续仅进行字符串拆分操作，无命令执行、代码执行或文件操作等恶意行为，未发现任何混淆技术。,,11132,2303,1198,1105,1
data\samples\benign\laravel_RedirectIfAuthenticated.php,laravel_RedirectIfAuthenticated.php,benign,benign,none,none,benign,none,正常 Laravel 中间件代码,none,0.98,none,,代码为 Laravel 框架自带的 RedirectIfAuthenticated 中间件，功能是判断用户是否已认证并重定向。仅使用 call_user_func 调用开发者设置的回调，输入完全受控，无任何恶意行为或混淆手段。,,13860,2849,1249,1600,1
data\samples\benign\laravel_Registered.php,laravel_Registered.php,benign,benign,none,none,benign,none,Laravel 框架标准事件类,none,1.0,none,,代码为 Laravel 框架中 Illuminate\Auth\Events\Registered 事件类的标准实现，仅包含命名空间、trait 引用和构造函数，无任何危险函数、用户输入或混淆技术，属于正常业务代码。,,5312,1430,790,640,1
